E: 3.057903 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +9ms
E: 3.062810 0003 0000 20679	# EV_ABS / ABS_X                20679
E: 3.062810 0003 0001 12179	# EV_ABS / ABS_Y                12179
E: 3.062810 0003 0018 1919	# EV_ABS / ABS_PRESSURE         1919
E: 3.062810 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.062810 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.072830 0003 0000 20681	# EV_ABS / ABS_X                20681
E: 3.072830 0003 0018 1937	# EV_ABS / ABS_PRESSURE         1937
E: 3.072830 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.072830 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.077901 0003 0000 20683	# EV_ABS / ABS_X                20683
E: 3.077901 0003 0001 12182	# EV_ABS / ABS_Y                12182
E: 3.077901 0003 0018 1957	# EV_ABS / ABS_PRESSURE         1957
E: 3.077901 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.077901 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.087919 0003 0000 20685	# EV_ABS / ABS_X                20685
E: 3.087919 0003 0001 12185	# EV_ABS / ABS_Y                12185
E: 3.087919 0003 0018 1978	# EV_ABS / ABS_PRESSURE         1978
E: 3.087919 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.087919 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.092801 0003 0001 12187	# EV_ABS / ABS_Y                12187
E: 3.092801 0003 0018 1998	# EV_ABS / ABS_PRESSURE         1998
E: 3.092801 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.092801 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.101741 0003 0001 12190	# EV_ABS / ABS_Y                12190
E: 3.101741 0003 0018 2013	# EV_ABS / ABS_PRESSURE         2013
E: 3.101741 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.101741 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +9ms
E: 3.106861 0003 0001 12192	# EV_ABS / ABS_Y                12192
E: 3.106861 0003 0018 2026	# EV_ABS / ABS_PRESSURE         2026
E: 3.106861 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.106861 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.116909 0003 0000 20687	# EV_ABS / ABS_X                20687
E: 3.116909 0003 0001 12195	# EV_ABS / ABS_Y                12195
E: 3.116909 0003 0018 2035	# EV_ABS / ABS_PRESSURE         2035
E: 3.116909 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.116909 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.121637 0003 0000 20689	# EV_ABS / ABS_X                20689
E: 3.121637 0003 0001 12203	# EV_ABS / ABS_Y                12203
E: 3.121637 0003 0018 2043	# EV_ABS / ABS_PRESSURE         2043
E: 3.121637 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.121637 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.131648 0003 0001 12205	# EV_ABS / ABS_Y                12205
E: 3.131648 0003 0018 2050	# EV_ABS / ABS_PRESSURE         2050
E: 3.131648 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.131648 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.136869 0003 0000 20691	# EV_ABS / ABS_X                20691
E: 3.136869 0003 0001 12214	# EV_ABS / ABS_Y                12214
E: 3.136869 0003 0018 2057	# EV_ABS / ABS_PRESSURE         2057
E: 3.136869 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.136869 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.146986 0003 0001 12217	# EV_ABS / ABS_Y                12217
E: 3.146986 0003 0018 2064	# EV_ABS / ABS_PRESSURE         2064
E: 3.146986 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.146986 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.151735 0003 0001 12220	# EV_ABS / ABS_Y                12220
E: 3.151735 0003 0018 2072	# EV_ABS / ABS_PRESSURE         2072
E: 3.151735 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.151735 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.161639 0003 0000 20693	# EV_ABS / ABS_X                20693
E: 3.161639 0003 0001 12230	# EV_ABS / ABS_Y                12230
E: 3.161639 0003 0018 2078	# EV_ABS / ABS_PRESSURE         2078
E: 3.161639 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.161639 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.166860 0003 0001 12232	# EV_ABS / ABS_Y                12232
E: 3.166860 0003 0018 2085	# EV_ABS / ABS_PRESSURE         2085
E: 3.166860 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.166860 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.176638 0003 0001 12235	# EV_ABS / ABS_Y                12235
E: 3.176638 0003 0018 2091	# EV_ABS / ABS_PRESSURE         2091
E: 3.176638 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.176638 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.181853 0003 0001 12244	# EV_ABS / ABS_Y                12244
E: 3.181853 0003 0018 2095	# EV_ABS / ABS_PRESSURE         2095
E: 3.181853 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.181853 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.191640 0003 0001 12246	# EV_ABS / ABS_Y                12246
E: 3.191640 0003 0018 2099	# EV_ABS / ABS_PRESSURE         2099
